text,diggCount,uniqueId,createTimeISO,videoWebUrl,language,sentiment,category,reaction_target,translation_ko
VIDIVICIのファンデ使ったことある人いる？？,1,choa_cosme,2026-07-06 11:15:11+00:00,https://www.tiktok.com/@choa_cosme/video/7659370969026366728,Japanese,Neutral,사용 방법·문의,제품 반응,VIDIVICI 파운데이션 써본 사람 있어요??
めっちゃキレイですよ!!!✨,1,mirumiru191,2026-04-20 15:15:57+00:00,https://www.tiktok.com/@shining.child03/video/7630793544990526740,Japanese,Positive,기타,기타,완전 예뻐요!!!✨
くしゃみが「へげっ」なのワロタ😁,0,sorairo0430,2026-04-26 00:11:06+00:00,https://www.tiktok.com/@shining.child03/video/7630793544990526740,Japanese,Positive,기타,기타,재채기가 '헤겟'인 거 웃기다 😁
😳😳😳,1,a.i6814,2026-04-21 01:43:49+00:00,https://www.tiktok.com/@shining.child03/video/7630793544990526740,Other,Neutral,기타,기타,
肌荒れしずらいらしい！,2,ai_10214,2026-06-05 01:05:09+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Negative,제품력·효과,피부 표현·메이크업,피부 트러블 잘 안 생긴대!
他にもおすすめ教えて！,0,zerohachiis,2026-06-05 02:29:22+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Neutral,사용 방법·문의,구매·문의,다른 추천 제품도 알려주세요!
クッション探してたから助かる！,1,user1827252258105,2026-06-04 12:20:17+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,제품 반응,쿠션 찾고 있었는데 도움 됐어요!
肌のふんわり感めっちゃ良い☁️💞,2,issaeclat,2026-06-04 12:21:08+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,피부 표현·메이크업,피부 표현 뽀샤시한 느낌 완전 좋아요☁️💞
毛穴どこいったの、、,1,ai_ai_0214,2026-06-04 12:28:19+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Negative,제품력·효과,제품 반응,모공 어디 갔어..
私も最近これ買ったけど、ほんんっとに良い。今までデパコス含めリアル15個くらいファンデ買ってきたけどこれダントツ。まっじで崩れないし、仕上がりちょーきれい‼️ちなみに私は白い方使ってる💞,1,j_______m95,2026-06-06 15:43:58+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,제품력·효과,제품 반응,저도 최근에 이거 샀는데 진짜 좋아요. 지금까지 백화점 화장품 포함해서 진짜 15개 정도 파운데이션 샀는데 이게 압도적으로 최고. 진짜 안 무너지고 발림도 완전 예뻐요‼️ 저는 하얀색 쪽 쓰고 있어요💞
かわいすぎる、全部最高😭💕,2,user2553110087796,2026-06-04 12:21:16+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,"너무 예뻐, 전부 최고😭💕"
緩苺ちゃん❣️可愛いよ❣️,1,user1015981073426,2026-06-04 12:19:30+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,유루이치고짱❣️ 예뻐요❣️
かわいいー！,1,zero_pomemaru,2026-06-04 12:31:17+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,예뻐요ㅡ!
え、仕上がりめっちゃ綺麗,2,s_hiyori1221,2026-06-04 12:13:14+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,피부 표현·광채,피부 표현·메이크업,"어, 발림 완전 예쁘다"
肌綺麗すぎて内容入ってこない。。。,1,aya_0907_,2026-06-04 12:30:41+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Negative,피부 표현·광채,피부 표현·메이크업,피부가 너무 예뻐서 내용이 안 들어와요...
可愛すぎる((o(｡>ω<｡)o)),1,risa._.912,2026-06-04 12:12:34+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,너무 귀여워((o(｡>ω<｡)o))
ゆるめちゃん今日もかわいい！,2,user3175493090830,2026-06-04 12:20:21+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,유루메짱 오늘도 예뻐요!
肌つるんってしてて羨ましい🥚,1,hinaptti55,2026-06-04 12:22:59+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,피부 표현·메이크업,피부 반들반들해서 부러워요🥚
メガ割購入確定やな,2,itsucnuhlwt,2026-06-04 12:21:47+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,구매·문의,메가할인 구매 확정이네
可愛すぎて見入った😭,1,akari_1103_,2026-06-04 12:28:47+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,너무 예뻐서 홀렸어요😭
ゆるめちゃんが紹介すると欲しくなる現象,1,megumegumeme,2026-06-04 12:19:36+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Neutral,모델·출연자 반응,모델·출연자 반응,유루메짱이 소개하면 갖고 싶어지는 현상
仕上がりナチュラルで好き,1,user1396712402977,2026-06-04 12:18:28+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,피부 표현·광채,피부 표현·메이크업,발림이 자연스러워서 좋아요
憧れ😍,0,kiri00613r9,2026-06-05 02:21:10+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,기타,동경돼요😍
なんでこんな可愛いの？,0,shugoi_kun,2026-06-05 02:01:35+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,왜 이렇게 예뻐요?
とりあえずメガ割り間に合った〜！,0,ai_10214,2026-06-05 01:36:06+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,구매·문의,일단 메가할인 시간 맞춰 샀다~!
最近のメイクアップ見たい！,0,zerohachiis,2026-06-05 01:49:44+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,피부 표현·메이크업,최근 메이크업 보고 싶어요!
透明感やばい,0,user1827252258105,2026-06-05 02:20:23+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,피부 표현·광채,피부 표현·메이크업,투명감 미쳤다
